core_str,trait_name,trait_value,sample_size,hit_count,hit_rate_pct,baseline_rate_pct,relative_lift_x,lift_pct_points,confidence_score,sample_tier,meets_signal_floor,usable_broad_seed_signal,usable_tiebreak_seed_signal
138,seed_parity,OEOE,5816,30,0.516,0.351,1.469,0.165,0.002923,STRONG_STABLE_250_PLUS,False,True,True
138,seed_high_count,0,5757,29,0.504,0.351,1.434,0.153,0.002621,STRONG_STABLE_250_PLUS,False,True,True
138,seed_highlow,LLLL,5757,29,0.504,0.351,1.434,0.153,0.002621,STRONG_STABLE_250_PLUS,False,True,True
138,seed_consec_links,2,7412,36,0.486,0.351,1.383,0.135,0.002368,STRONG_STABLE_250_PLUS,False,True,False
138,seed_parity,EOOE,5733,26,0.454,0.351,1.291,0.102,0.001525,STRONG_STABLE_250_PLUS,False,True,False
138,seed_highlow,HHHL,5782,26,0.45,0.351,1.28,0.098,0.001452,STRONG_STABLE_250_PLUS,False,True,False
138,Month,10,7027,31,0.441,0.351,1.256,0.09,0.001376,STRONG_STABLE_250_PLUS,False,True,False
145,seed_parity,OEEE,5935,30,0.505,0.347,1.457,0.159,0.00276,STRONG_STABLE_250_PLUS,False,True,True
145,seed_sum_end,9,9295,44,0.473,0.347,1.365,0.126,0.00227,STRONG_STABLE_250_PLUS,False,True,False
145,seed_even_count,0,5701,26,0.456,0.347,1.315,0.109,0.001638,STRONG_STABLE_250_PLUS,False,True,False
145,seed_parity,OOOO,5701,26,0.456,0.347,1.315,0.109,0.001638,STRONG_STABLE_250_PLUS,False,True,False
145,seed_high_count,4,5708,26,0.456,0.347,1.313,0.109,0.001636,STRONG_STABLE_250_PLUS,False,True,False
145,seed_highlow,HHHH,5708,26,0.456,0.347,1.313,0.109,0.001636,STRONG_STABLE_250_PLUS,False,True,False
389,seed_parity,EOEE,5780,37,0.64,0.405,1.58,0.235,0.005472,STRONG_STABLE_250_PLUS,True,True,True
389,seed_sum_end,6,9382,55,0.586,0.405,1.447,0.181,0.004271,STRONG_STABLE_250_PLUS,False,True,True
389,seed_sum_mod5,1,18588,100,0.538,0.405,1.328,0.133,0.003302,STRONG_STABLE_250_PLUS,False,True,False
389,seed_parity,OOEE,5832,31,0.532,0.405,1.312,0.127,0.00234,STRONG_STABLE_250_PLUS,False,True,False
389,Month,05,9337,48,0.514,0.405,1.269,0.109,0.002181,STRONG_STABLE_250_PLUS,False,True,False
457,seed_parity,OEEO,5845,33,0.565,0.392,1.44,0.172,0.003424,STRONG_STABLE_250_PLUS,False,True,True
457,seed_shape,double_double,2484,14,0.564,0.392,1.437,0.171,0.00261,STRONG_STABLE_250_PLUS,False,False,True
457,Month,02,8497,44,0.518,0.392,1.321,0.126,0.002484,STRONG_STABLE_250_PLUS,False,True,False
457,seed_spread_bucket,spread_0_2,4962,26,0.524,0.392,1.336,0.132,0.00228,STRONG_STABLE_250_PLUS,False,True,False
457,seed_even_count,0,5701,29,0.509,0.392,1.297,0.117,0.002024,STRONG_STABLE_250_PLUS,False,True,False
457,seed_parity,OOOO,5701,29,0.509,0.392,1.297,0.117,0.002024,STRONG_STABLE_250_PLUS,False,True,False
567,Month,03,9311,48,0.516,0.355,1.45,0.16,0.00321,STRONG_STABLE_250_PLUS,False,True,True
567,seed_sum_end,1,9206,45,0.489,0.355,1.375,0.133,0.002489,STRONG_STABLE_250_PLUS,False,True,False
567,seed_parity,EOEO,5826,26,0.446,0.355,1.255,0.091,0.001338,STRONG_STABLE_250_PLUS,False,True,False
679,seed_parity,OOEO,5859,32,0.546,0.379,1.44,0.167,0.003189,STRONG_STABLE_250_PLUS,False,True,True
679,Month,02,8497,44,0.518,0.379,1.366,0.139,0.00274,STRONG_STABLE_250_PLUS,False,True,False
679,seed_sum_end,4,9379,46,0.49,0.379,1.293,0.111,0.002096,STRONG_STABLE_250_PLUS,False,True,False
679,seed_parity,OEOE,5816,28,0.481,0.379,1.27,0.102,0.001654,STRONG_STABLE_250_PLUS,False,True,False
